,cent,entropy
0,0,203.89506313
1,1,163.90719898
2,2,155.60950315
3,3,148.78868172
4,4,142.63969204
5,5,136.84032437
6,6,131.3653091
7,7,126.21331968
8,8,121.37696865
9,9,116.77349963
10,10,112.36922288
11,11,108.11930604
12,12,104.09844693
13,13,100.24807471
14,14,96.461792543
15,15,92.842707017
16,16,89.403912629
17,17,86.072562462
18,18,82.783911914
19,19,79.651150364
20,20,76.701483364
21,21,73.796414486
22,22,71.025748142
23,23,68.34638239
24,24,65.738655891
25,25,63.185299013
26,26,60.720690249
27,27,58.340879346
28,28,56.027747157
29,29,53.832775976
30,30,51.700467824
31,31,49.625401979
32,32,47.617809301
33,33,45.655407706
34,34,43.745194195
35,35,41.902229232
36,36,40.144801362
37,37,38.394728731
38,38,36.705498929
39,39,35.069360421
40,40,33.474975891
41,41,31.957205058
42,42,30.499642187
43,43,29.071974057
44,44,27.696618848
45,45,26.391625391
46,46,25.087188265
47,47,23.844858847
48,48,22.648837714
49,49,21.49607477
50,50,20.392334498
51,51,19.329918929
52,52,18.287172259
53,53,17.296570359
54,54,16.343339197
55,55,15.419515435
56,56,14.534394242
57,57,13.691486344
58,58,12.879342152
59,59,12.100037326
60,60,11.365231295
61,61,10.646709061
62,62,9.9668779309
63,63,9.3245770418
64,64,8.7068831522
65,65,8.115269012
66,66,7.5547376719
67,67,7.0217583213
68,68,6.5170491663
69,69,6.0371925212
70,70,5.5775084708
71,71,5.1500360871
72,72,4.7410586441
73,73,4.3624605544
74,74,4.0031409115
75,75,3.6618070138
76,76,3.3511473002
77,77,3.0593301566
78,78,2.783699354
79,79,2.5288735044
80,80,2.2863190417
81,81,2.0667458098
82,82,1.8629404504
83,83,1.6697389385
84,84,1.4942172645
85,85,1.3296352006
86,86,1.1795716684
87,87,1.040475852
88,88,0.91484339449
89,89,0.79554565156
90,90,0.68651462242
91,91,0.5856210525
92,92,0.49516742273
93,93,0.41214024924
94,94,0.33627492405
95,95,0.26693853784
96,96,0.20481187733
97,97,0.14716199465
98,98,0.096768504761
99,99,0.050715677096
100,100,7.2925366378e-05
